Designator,Mid X,Mid Y,Layer,Rotation
R103,46.493905mm,43.374095mm,Top,90.0
R125,58.055005mm,43.924994999999996mm,Top,0.0
C104,26.975005000000003mm,17.774995mm,Bottom,180.0
C137,47.266505mm,25.120195000000002mm,Top,90.0
D101,32.730505mm,14.554495mm,Bottom,270.0
C101,26.798005000000003mm,41.516595mm,Bottom,270.0
R102,34.300505mm,13.352495000000001mm,Bottom,270.0
R101,37.175005mm,23.925095mm,Bottom,0.0
D102,28.175005mm,43.224995mm,Top,180.0
Y102,38.188505000000006mm,28.868795mm,Bottom,180.0
R122,48.375005mm,43.224995mm,Bottom,90.0
R123,50.399105000000006mm,40.934795mm,Bottom,0.0
R127,32.475005mm,29.024994999999997mm,Bottom,270.0
R128,46.231205mm,32.702795mm,Bottom,270.0
D106,33.610105000000004mm,21.378095000000002mm,Top,270.0
D105,35.410105mm,21.378095000000002mm,Top,270.0
D107,29.885505000000002mm,27.529995mm,Bottom,270.0
D104,37.210105mm,21.378095000000002mm,Top,270.0
D103,39.010105mm,21.378095000000002mm,Top,270.0
C140,33.575005000000004mm,29.024994999999997mm,Bottom,90.0
C132,37.199905mm,26.592495mm,Bottom,180.0
C136,39.275104999999996mm,26.592495mm,Bottom,0.0
C127,46.231205mm,37.224995mm,Bottom,90.0
C138,30.202805mm,12.758895mm,Bottom,180.0
C130,44.321505mm,27.242494999999998mm,Bottom,90.0
C131,47.375005mm,37.224995mm,Bottom,90.0
C114,32.375005mm,43.093295mm,Top,90.0
C103,26.975005000000003mm,16.724995mm,Bottom,180.0
C113,31.175005000000002mm,43.093295mm,Top,270.0
C102,34.300505mm,16.924995mm,Bottom,270.0
U105,38.325005000000004mm,32.634395mm,Top,0.0
